Place Id,Name,Address,Contact,URL,Lat,Lng,Service/Business,District
ChIJHTknvilxdDkRjsYJlQUGPvE,Neha's Beauty parlour,"B-214, near Hanuman Park, Rambagh, Trans Yamuna Colony, Agra, Uttar Pradesh 282006, India",085320 02188,https://maps.google.com/?cid=17383338232741742222,27.2058979,78.04669129999999,parlours,Agra
ChIJCUGULHh3dDkRgkgGn4veL2k,Seezar parlour,"shop no, Sec-1 Meenakshi complex, 15, Bodla Rd, Agra, Uttar Pradesh 282007, India",095688 78677,https://maps.google.com/?cid=7579521389137643650,27.1893918,77.96509379999999,parlours,Agra
ChIJV80gG-9xdDkR5TRDXaCW1ww,MU Bright Life beauty Salon,"near, Shop no. 1 , SN complex, Pani Ki Tanki Rd, Kamla Nagar, Agra, Uttar Pradesh 282005, India",089790 94489,https://maps.google.com/?cid=925373863951545573,27.2140366,78.0230777,parlours,Agra
ChIJWULSH1N3dDkRDDZWViJKfkQ,Eve's Salon,"B-108,-1st Floor, Central Bank Rd, opp. Bank Of India, Ghatwasan, Kamla Nagar, Agra, Uttar Pradesh 282005, India",,https://maps.google.com/?cid=4935463752982476300,27.2120433,78.0180293,parlours,Agra
ChIJoTzg1rh3dDkRo6yMYqPyopg,Gold N Glitz Unisex Salon,"SHRI BRAHMANI PALACE, PLOT NO- 123, AWADHPURI CHAURAHA, Pushpanjali Nagar Phase 3, Shahganj, Agra, Albatia, Uttar Pradesh 282010, India",078179 60175,https://maps.google.com/?cid=10998620023539149987,27.1788084,77.95439069999999,parlours,Agra
ChIJfX-sLjx3dDkRcgXflWyJ-Vo,Mamz Beauty Parlour,"3, Sona Complex, Near Bharat Cinema, Raja Ki Mandi, Agra, Uttar Pradesh 282002, India",094124 57882,https://maps.google.com/?cid=6555421832078361970,27.1898384,78.00009469999999,parlours,Agra
ChIJjzVsU2t3dDkR4OU3DAqpygc,Lavish Looks Salon,"15/318, Noori Gate Rd, near Lady Lyall Hospital Road, Raja Mandi, Bagh Muzaffar Khan, Mantola, Agra, Uttar Pradesh 282002, India",082794 63821,https://maps.google.com/?cid=561446964180805088,27.1897336,78.0036801,parlours,Agra
ChIJ5TPZepFxdDkRxtF0O-2UxBo,Look Me Parlour,"Shop no. 2, Prateek Enclave, Taj Nagari Phase 1, Telipara, Tajganj, Agra, Dhandhupura, Uttar Pradesh 282001, India",082189 14351,https://maps.google.com/?cid=1928830287047086534,27.1637284,78.0560066,parlours,Agra
ChIJc8V9-1d3dDkRAL8KptYJjCw,Dream & Desire Salon,"Dayal Bagh Rd, Swamibagh, DayalBagh, Agra, Uttar Pradesh 282005, India",093197 23560,https://maps.google.com/?cid=3209951451921694464,27.219505,78.008648,parlours,Agra
ChIJ6SkowcFxdDkRAHyYtvCKXJg,Agra Bride Studio,"B-170, opp. tempetation main market, near harish shoes, Kaveri Kunj, Kamla Nagar, Agra, Uttar Pradesh 282005, India",096909 68917,https://maps.google.com/?cid=10978802758082657280,27.2152861,78.0194138,parlours,Agra
